"","dia","casos_confirmados","data_da_previsao","previsao","lo.80","hi.80","lo.95","hi.95"
"1",2020-02-26,1,"2020_03_31",NA,NA,NA,NA,NA
"2",2020-02-27,1,"2020_03_31",NA,NA,NA,NA,NA
"3",2020-02-28,2,"2020_03_31",NA,NA,NA,NA,NA
"4",2020-02-29,2,"2020_03_31",NA,NA,NA,NA,NA
"5",2020-03-01,2,"2020_03_31",NA,NA,NA,NA,NA
"6",2020-03-02,2,"2020_03_31",NA,NA,NA,NA,NA
"7",2020-03-03,2,"2020_03_31",NA,NA,NA,NA,NA
"8",2020-03-04,3,"2020_03_31",NA,NA,NA,NA,NA
"9",2020-03-05,8,"2020_03_31",NA,NA,NA,NA,NA
"10",2020-03-06,14,"2020_03_31",NA,NA,NA,NA,NA
"11",2020-03-07,19,"2020_03_31",NA,NA,NA,NA,NA
"12",2020-03-08,25,"2020_03_31",NA,NA,NA,NA,NA
"13",2020-03-09,25,"2020_03_31",NA,NA,NA,NA,NA
"14",2020-03-10,29,"2020_03_31",NA,NA,NA,NA,NA
"15",2020-03-11,43,"2020_03_31",NA,NA,NA,NA,NA
"16",2020-03-12,89,"2020_03_31",NA,NA,NA,NA,NA
"17",2020-03-13,95,"2020_03_31",NA,NA,NA,NA,NA
"18",2020-03-14,135,"2020_03_31",NA,NA,NA,NA,NA
"19",2020-03-15,154,"2020_03_31",NA,NA,NA,NA,NA
"20",2020-03-16,279,"2020_03_31",NA,NA,NA,NA,NA
"21",2020-03-17,326,"2020_03_31",NA,NA,NA,NA,NA
"22",2020-03-18,513,"2020_03_31",NA,NA,NA,NA,NA
"23",2020-03-19,641,"2020_03_31",NA,NA,NA,NA,NA
"24",2020-03-20,930,"2020_03_31",NA,NA,NA,NA,NA
"25",2020-03-21,1132,"2020_03_31",NA,NA,NA,NA,NA
"26",2020-03-22,1594,"2020_03_31",NA,NA,NA,NA,NA
"27",2020-03-23,1952,"2020_03_31",NA,NA,NA,NA,NA
"28",2020-03-24,2255,"2020_03_31",NA,NA,NA,NA,NA
"29",2020-03-25,2561,"2020_03_31",NA,NA,NA,NA,NA
"30",2020-03-26,2987,"2020_03_31",NA,NA,NA,NA,NA
"31",2020-03-27,3476,"2020_03_31",NA,NA,NA,NA,NA
"32",2020-03-28,3953,"2020_03_31",NA,NA,NA,NA,NA
"33",2020-03-29,4303,"2020_03_31",NA,NA,NA,NA,NA
"34",2020-03-30,4660,"2020_03_31",NA,NA,NA,NA,NA
"35",2020-03-31,5714,"2020_03_31",NA,NA,NA,NA,NA
"36",2020-04-01,NA,"2020_03_31",6040,5867,6213,5780,6300
"37",2020-04-02,NA,"2020_03_31",6694,6478,6925,6354,7037
"38",2020-04-03,NA,"2020_03_31",7349,7046,7660,6889,7812
"39",2020-04-04,NA,"2020_03_31",8003,7582,8432,7356,8661
"40",2020-04-05,NA,"2020_03_31",8657,8100,9213,7807,9517
